Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,AS3D7.gbk,Afa_C58.gbk,Atu_Ach5.gbk
100_putative_oxidoreduct...fna,,,,,,,,,,,,,,1,0,0
101_bifunctional_aldehyd...fna,,,,,,,,,,,,,,1,0,0
102_adk_1.fna,,,,,,,,,,,,,,1,0,0
103_Sulfite_exporter_Tau...fna,,,,,,,,,,,,,,1,0,0
104_blh_5.fna,,,,,,,,,,,,,,1,0,0
105_prxU.fna,,,,,,,,,,,,,,1,0,0
106_bigR_4.fna,,,,,,,,,,,,,,1,0,0
107_blh_6.fna,,,,,,,,,,,,,,1,0,0
108_acyl-CoA_esterase.fna,,,,,,,,,,,,,,1,0,0
109_catD_2.fna,,,,,,,,,,,,,,1,0,0
110_hmgA.fna,,,,,,,,,,,,,,1,0,0
111_coxS.fna,,,,,,,,,,,,,,1,0,0
112_kdhA.fna,,,,,,,,,,,,,,1,0,0
113_cdhA.fna,,,,,,,,,,,,,,1,0,0
114_putative_acetyltrans...fna,,,,,,,,,,,,,,1,0,0
115_transcriptional_repr...fna,,,,,,,,,,,,,,1,0,0
116_Receptor_family_liga...fna,,,,,,,,,,,,,,1,0,0
117_livH_7.fna,,,,,,,,,,,,,,1,0,0
118_leucine-isoleucine-v...fna,,,,,,,,,,,,,,1,0,0
119_lptB_4.fna,,,,,,,,,,,,,,1,0,0
120_livF_6.fna,,,,,,,,,,,,,,1,0,0
121_bclA.fna,,,,,,,,,,,,,,1,0,0
124_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
125_dnaE2_4.fna,,,,,,,,,,,,,,1,0,0
126_dnaE2_5.fna,,,,,,,,,,,,,,1,0,0
127_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
128_Aspartate_aminotrans...fna,,,,,,,,,,,,,,1,0,0
129_nreC.fna,,,,,,,,,,,,,,1,0,0
130_glnH_8.fna,,,,,,,,,,,,,,1,0,0
131_yecS_8.fna,,,,,,,,,,,,,,1,0,0
132_glnQ_14.fna,,,,,,,,,,,,,,1,0,0
133_kdgK_6.fna,,,,,,,,,,,,,,1,0,0
134_sugC_8.fna,,,,,,,,,,,,,,1,0,0
135_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
136_folD_2.fna,,,,,,,,,,,,,,1,0,0
137_purU_4.fna,,,,,,,,,,,,,,1,0,0
138_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
139_gfa_1.fna,,,,,,,,,,,,,,1,0,0
140_araG_2.fna,,,,,,,,,,,,,,1,0,0
141_Cytochrome_P450-pinF...fna,,,,,,,,,,,,,,1,0,0
142_Amidohydrolase.fna,,,,,,,,,,,,,,1,0,0
143_NMT1-THI5_like_prote...fna,,,,,,,,,,,,,,1,0,0
144_4-hydroxy-4-methyl-2...fna,,,,,,,,,,,,,,1,0,0
145_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
146_fdr.fna,,,,,,,,,,,,,,1,0,0
147_thcC.fna,,,,,,,,,,,,,,1,0,0
148_pntA_2.fna,,,,,,,,,,,,,,1,0,0
149_pntA_3.fna,,,,,,,,,,,,,,1,0,0
151_gfa_2.fna,,,,,,,,,,,,,,1,0,0
152_Nitrate_and_nitrite_...fna,,,,,,,,,,,,,,1,0,0
153_tap_5.fna,,,,,,,,,,,,,,1,0,0
154_mtrR.fna,,,,,,,,,,,,,,1,0,0
155_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
156_Alcohol_dehydrogenas...fna,,,,,,,,,,,,,,1,0,0
157_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
158_gcvT_5.fna,,,,,,,,,,,,,,1,0,0
159_Bacterial_regulatory...fna,,,,,,,,,,,,,,1,0,0
160_Methylenetetrahydrof...fna,,,,,,,,,,,,,,1,0,0
162_yhdN_6.fna,,,,,,,,,,,,,,1,0,0
163_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
165_ttgA_2.fna,,,,,,,,,,,,,,1,0,1
166_mexB_3.fna,,,,,,,,,,,,,,1,0,1
167_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
168_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
169_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
170_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
171_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
172_higB.fna,,,,,,,,,,,,,,1,0,1
173_mlhB.fna,,,,,,,,,,,,,,1,0,0
174_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
175_Nucleotidyltransfera...fna,,,,,,,,,,,,,,1,0,1
176_hipA_4.fna,,,,,,,,,,,,,,1,0,1
177_helix-turn-helix_pro...fna,,,,,,,,,,,,,,1,0,1
178_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
179_bdhA_5.fna,,,,,,,,,,,,,,1,0,0
180_ydfG_3.fna,,,,,,,,,,,,,,1,0,0
181_YCII-related_domain_...fna,,,,,,,,,,,,,,1,0,0
182_yybR_6.fna,,,,,,,,,,,,,,1,0,0
183_xecE_2.fna,,,,,,,,,,,,,,1,0,0
191_BA14K-like_protein.fna,,,,,,,,,,,,,,1,0,0
201_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
216_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
217_helix-turn-helix_pro...fna,,,,,,,,,,,,,,1,0,1
227_yfcG_2.fna,,,,,,,,,,,,,,1,0,1
228_bigR_2.fna,,,,,,,,,,,,,,1,0,1
229_ssuA_1.fna,,,,,,,,,,,,,,1,0,1
230_ssuD_4.fna,,,,,,,,,,,,,,1,0,1
258_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
260_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
261_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
265_nepI_1.fna,,,,,,,,,,,,,,1,0,1
271_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
273_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
292_enterobactin_exporte...fna,,,,,,,,,,,,,,1,0,0
304_yciC_1.fna,,,,,,,,,,,,,,1,0,0
305_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
311_fhuB_2.fna,,,,,,,,,,,,,,1,0,0
312_fhuC_2.fna,,,,,,,,,,,,,,1,0,0
313_ripA_2.fna,,,,,,,,,,,,,,1,0,0
314_fhuA_3.fna,,,,,,,,,,,,,,1,0,0
315_fhuD_2.fna,,,,,,,,,,,,,,1,0,0
316_ferric_iron_reductas...fna,,,,,,,,,,,,,,1,0,0
327_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
328_fhuC_3.fna,,,,,,,,,,,,,,1,0,0
329_fhuB_3.fna,,,,,,,,,,,,,,1,0,0
330_fhuD_3.fna,,,,,,,,,,,,,,1,0,0
339_feaR_1.fna,,,,,,,,,,,,,,1,0,0
340_dmoA.fna,,,,,,,,,,,,,,1,0,0
341_rutF_1.fna,,,,,,,,,,,,,,1,0,0
342_ydfH_1.fna,,,,,,,,,,,,,,1,0,0
343_bvgS.fna,,,,,,,,,,,,,,1,0,0
344_glnQ_2.fna,,,,,,,,,,,,,,1,0,0
345_gltK.fna,,,,,,,,,,,,,,1,0,0
348_dadA_1.fna,,,,,,,,,,,,,,1,0,0
349_gbsA.fna,,,,,,,,,,,,,,1,0,0
350_Proline_racemase.fna,,,,,,,,,,,,,,1,0,0
351_fabG_2.fna,,,,,,,,,,,,,,1,0,0
352_tsaC1.fna,,,,,,,,,,,,,,1,0,0
365_yhhW_1.fna,,,,,,,,,,,,,,1,0,0
366_nicotinamidase-pyraz...fna,,,,,,,,,,,,,,1,0,0
368_yybR_1.fna,,,,,,,,,,,,,,1,0,0
370_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
372_Carboxymuconolactone...fna,,,,,,,,,,,,,,1,0,0
373_hmp_1.fna,,,,,,,,,,,,,,1,0,0
374_yfcG_1.fna,,,,,,,,,,,,,,1,0,0
379_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
380_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
390_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
391_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
393_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
394_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
395_ihfB_2.fna,,,,,,,,,,,,,,1,0,1
396_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
397_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
398_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
400_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
401_iolE_2.fna,,,,,,,,,,,,,,1,0,0
407_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
424_Bacterial_virulence_...fna,,,,,,,,,,,,,,1,0,1
425_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
427_IS66_Orf2_like_prote...fna,,,,,,,,,,,,,,1,0,0
431_Zeta_toxin.fna,,,,,,,,,,,,,,1,0,1
432_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
433_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
434_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
435_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
436_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
437_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
438_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
439_mtnN_1.fna,,,,,,,,,,,,,,1,0,0
440_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
441_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
442_5-methylthioadenosi...fna,,,,,,,,,,,,,,1,0,0
445_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
446_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
447_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
448_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
449_putative_DNA-binding...fna,,,,,,,,,,,,,,1,0,0
450_anaerobic_benzoate_c...fna,,,,,,,,,,,,,,1,0,0
452_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
453_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
454_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
455_xerC_2.fna,,,,,,,,,,,,,,1,0,1
459_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
460_parB_2.fna,,,,,,,,,,,,,,1,0,0
461_soj_2.fna,,,,,,,,,,,,,,1,0,0
464_TrbC-VIRB2_family_pr...fna,,,,,,,,,,,,,,1,0,1
468_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
474_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
475_cynR_2.fna,,,,,,,,,,,,,,1,0,0
476_apc3_1.fna,,,,,,,,,,,,,,1,0,0
477_apc4_1.fna,,,,,,,,,,,,,,1,0,0
478_frlB_1.fna,,,,,,,,,,,,,,1,0,0
479_frlD_1.fna,,,,,,,,,,,,,,1,0,0
480_gsiA_5.fna,,,,,,,,,,,,,,1,0,1
481_gsiC_3.fna,,,,,,,,,,,,,,1,0,1
482_gsiD_3.fna,,,,,,,,,,,,,,1,0,1
483_gsiB_2.fna,,,,,,,,,,,,,,1,0,1
484_ccpA_2.fna,,,,,,,,,,,,,,1,0,0
485_D-amino_acid_dehydro...fna,,,,,,,,,,,,,,1,0,0
486_glnQ_7.fna,,,,,,,,,,,,,,1,0,0
487_glnH_2.fna,,,,,,,,,,,,,,1,0,0
488_glnP_3.fna,,,,,,,,,,,,,,1,0,0
489_glnP_4.fna,,,,,,,,,,,,,,1,0,0
490_ccpA_3.fna,,,,,,,,,,,,,,1,0,1
491_frlB_2.fna,,,,,,,,,,,,,,1,0,1
492_frlD_2.fna,,,,,,,,,,,,,,1,0,1
493_putative_peptidase.fna,,,,,,,,,,,,,,1,0,1
494_potA_2.fna,,,,,,,,,,,,,,1,0,1
495_potD_1.fna,,,,,,,,,,,,,,1,0,1
496_potH_1.fna,,,,,,,,,,,,,,1,0,1
497_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
498_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
499_pepQ_1.fna,,,,,,,,,,,,,,1,0,0
500_sdh_2.fna,,,,,,,,,,,,,,1,0,1
501_frlB_3.fna,,,,,,,,,,,,,,1,0,0
504_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
505_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
506_gsiB_3.fna,,,,,,,,,,,,,,1,0,1
508_gsiC_4.fna,,,,,,,,,,,,,,1,0,1
509_gsiD_4.fna,,,,,,,,,,,,,,1,0,1
510_gsiA_6.fna,,,,,,,,,,,,,,1,0,0
514_hcnC_1.fna,,,,,,,,,,,,,,1,0,0
515_aam_1.fna,,,,,,,,,,,,,,1,0,0
516_Integrase_core_domai...fna,,,,,,,,,,,,,,1,0,0
517_Transposase.fna,,,,,,,,,,,,,,1,0,0
519_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
520_ornithine_cyclodeami...fna,,,,,,,,,,,,,,1,0,0
522_RolB-RolC_glucosidas...fna,,,,,,,,,,,,,,1,0,0
526_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
529_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
540_Na+-Pi-cotransporter.fna,,,,,,,,,,,,,,1,0,0
541_gtfA.fna,,,,,,,,,,,,,,1,0,0
543_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
544_gph_1.fna,,,,,,,,,,,,,,1,0,1
545_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
546_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
547_Transposase.fna,,,,,,,,,,,,,,1,0,0
549_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
554_TraC-like_protein.fna,,,,,,,,,,,,,,1,0,1
555_Conjugal_transfer_pr...fna,,,,,,,,,,,,,,1,0,1
557_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
558_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
559_WGR_domain_protein.fna,,,,,,,,,,,,,,1,0,0
561_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
564_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
565_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
566_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
568_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
580_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
607_Transglycosylase_ass...fna,,,,,,,,,,,,,,1,0,0
611_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
637_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
640_Copper_binding_prote...fna,,,,,,,,,,,,,,1,0,1
647_tetC.fna,,,,,,,,,,,,,,1,0,0
661_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
662_Integrase_core_domai...fna,,,,,,,,,,,,,,1,0,1
663_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
713_Tripartite_tricarbox...fna,,,,,,,,,,,,,,1,0,1
773_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
786_dadA_5.fna,,,,,,,,,,,,,,1,0,1
802_MarR_family_protein.fna,,,,,,,,,,,,,,1,0,1
825_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
866_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
897_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
898_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
900_spo0C_4.fna,,,,,,,,,,,,,,1,0,0
901_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
902_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
903_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
904_traC_2.fna,,,,,,,,,,,,,,1,0,0
905_Phd_YefM.fna,,,,,,,,,,,,,,1,0,0
906_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
907_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
908_hupA.fna,,,,,,,,,,,,,,1,0,0
909_WGR_domain_protein.fna,,,,,,,,,,,,,,1,0,0
910_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
911_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
912_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
913_soj_8.fna,,,,,,,,,,,,,,1,0,0
914_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
915_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
916_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
917_oatA.fna,,,,,,,,,,,,,,1,0,0
919_gltR_4.fna,,,,,,,,,,,,,,1,0,0
920_mdtH.fna,,,,,,,,,,,,,,1,0,0
921_CGNR_zinc_finger.fna,,,,,,,,,,,,,,1,0,0
922_Glyoxalase-Bleomycin...fna,,,,,,,,,,,,,,1,0,0
923_ramA.fna,,,,,,,,,,,,,,1,0,0
924_major_facilitator_su...fna,,,,,,,,,,,,,,1,0,0
925_yjiR.fna,,,,,,,,,,,,,,1,0,0
926_traG_5.fna,,,,,,,,,,,,,,1,0,0
927_Type_IV_secretion_sy...fna,,,,,,,,,,,,,,1,0,0
928_Type_IV_secretion_sy...fna,,,,,,,,,,,,,,1,0,0
929_virB9_3.fna,,,,,,,,,,,,,,1,0,0
930_virB8_2.fna,,,,,,,,,,,,,,1,0,0
931_TrbL-VirB6_plasmid_c...fna,,,,,,,,,,,,,,1,0,0
932_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
933_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
934_slt_3.fna,,,,,,,,,,,,,,1,0,0
935_virB4_6.fna,,,,,,,,,,,,,,1,0,0
936_Type_IV_secretory_pa...fna,,,,,,,,,,,,,,1,0,0
937_TrbC-VIRB2_family_pr...fna,,,,,,,,,,,,,,1,0,0
938_mltF.fna,,,,,,,,,,,,,,1,0,0
939_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
940_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
941_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
942_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
943_anaerobic_benzoate_c...fna,,,,,,,,,,,,,,1,0,0
944_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
945_lasI_3.fna,,,,,,,,,,,,,,1,0,0
946_vjbR_2.fna,,,,,,,,,,,,,,1,0,0
947_transcriptional_repr...fna,,,,,,,,,,,,,,1,0,0
948_ygaV_4.fna,,,,,,,,,,,,,,1,0,0
949_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
950_Blue-light-activated...fna,,,,,,,,,,,,,,1,0,0
951_yoaH.fna,,,,,,,,,,,,,,1,0,0
952_rpfG_3.fna,,,,,,,,,,,,,,1,0,0
953_bdlA_5.fna,,,,,,,,,,,,,,1,0,0
954_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
955_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
956_Transposase.fna,,,,,,,,,,,,,,1,0,0
957_soxS_2.fna,,,,,,,,,,,,,,1,0,0
958_cdhR_6.fna,,,,,,,,,,,,,,1,0,0
959_rbsC_14.fna,,,,,,,,,,,,,,1,0,0
960_rbsA_12.fna,,,,,,,,,,,,,,1,0,0
961_rbsB_7.fna,,,,,,,,,,,,,,1,0,0
962_rhtB_5.fna,,,,,,,,,,,,,,1,0,0
963_asnB_2.fna,,,,,,,,,,,,,,1,0,0
964_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
965_garR_3.fna,,,,,,,,,,,,,,1,0,0
966_nemA_3.fna,,,,,,,,,,,,,,1,0,0
967_Glyoxalase-like_doma...fna,,,,,,,,,,,,,,1,0,0
968_Xylose_isomerase-lik...fna,,,,,,,,,,,,,,1,0,0
969_fabG_14.fna,,,,,,,,,,,,,,1,0,1
970_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
971_nfdA_3.fna,,,,,,,,,,,,,,1,0,0
972_putative_oxidoreduct...fna,,,,,,,,,,,,,,1,0,0
973_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
974_gutB_2.fna,,,,,,,,,,,,,,1,0,0
983_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
984_rhaS_2.fna,,,,,,,,,,,,,,1,0,1
985_limA.fna,,,,,,,,,,,,,,1,0,1
986_eutC_2.fna,,,,,,,,,,,,,,1,0,0
987_eutB_2.fna,,,,,,,,,,,,,,1,0,1
988_hisN_2.fna,,,,,,,,,,,,,,1,0,1
989_Choline-ethanolamine...fna,,,,,,,,,,,,,,1,0,1
990_Phosphotransferase_e...fna,,,,,,,,,,,,,,1,0,1
991_Putative_hydrolase-M...fna,,,,,,,,,,,,,,1,0,1
992_glcR.fna,,,,,,,,,,,,,,1,0,1
993_gsiA_23.fna,,,,,,,,,,,,,,1,0,1
994_ddpC_9.fna,,,,,,,,,,,,,,1,0,1
995_gsiC_16.fna,,,,,,,,,,,,,,1,0,1
996_dppA_9.fna,,,,,,,,,,,,,,1,0,1
997_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
998_malK_10.fna,,,,,,,,,,,,,,1,0,0
999_D-xylulose_reductase.fna,,,,,,,,,,,,,,1,0,0
1000_ycjP_7.fna,,,,,,,,,,,,,,1,0,0
1001_ugpA_6.fna,,,,,,,,,,,,,,1,0,0
1002_lpqY.fna,,,,,,,,,,,,,,1,0,0
1003_yesS_2.fna,,,,,,,,,,,,,,1,0,0
1004_muropeptide_transpor...fna,,,,,,,,,,,,,,1,0,0
1005_nphR.fna,,,,,,,,,,,,,,1,0,0
1006_iutA_2.fna,,,,,,,,,,,,,,1,0,0
1007_htpG.fna,,,,,,,,,,,,,,1,0,0
