## blobtools v0.9.19.3
## assembly	: /nfs1/BPP/Chang_Lab/SCRI/sequenced_03_11_2019/bbduk/fna/CFW-C58-A8.fna
## coverage	: spades - /nfs1/BPP/Chang_Lab/SCRI/sequenced_03_11_2019/bbduk/fna/CFW-C58-A8.fna
## taxonomy	: tax0 - /nfs1/BPP/Chang_Lab/SCRI/sequenced_03_11_2019/bbduk/fna/blobplot/CFW-C58-A8.vs.nt.cul5.1e25.megablast.out
## nodesDB	: None
## taxrule	: bestsum
##
# name	length	GC	N	spades	genus.t.6	genus.s.7	genus.c.8
NODE_73_length_9218_cov_5.511021	9218	0.4234	0	5.511	Bacillus	151362.0	1
NODE_74_length_8914_cov_11.784231	8914	0.4543	0	11.784	Bacillus	145477.0	1
NODE_75_length_8054_cov_183.194846	8054	0.427	0	183.195	Bacillus	80766.0	2
NODE_76_length_8019_cov_11.116793	8019	0.4507	0	11.117	Bacillus	131219.0	1
NODE_77_length_7845_cov_136.713530	7845	0.5374	0	136.714	Agrobacterium	33807.0	4
NODE_78_length_7240_cov_10.361714	7240	0.3888	0	10.362	Bacillus	96078.0	1
NODE_79_length_5952_cov_6.597471	5952	0.4609	0	6.597	Bacillus	96324.0	1
NODE_80_length_5737_cov_411.337531	5737	0.5273	97	411.338	Agrobacterium	110636.0	2
NODE_81_length_4667_cov_5.511384	4667	0.3523	0	5.511	Bacillus	62107.0	0
NODE_82_length_4588_cov_125.926264	4588	0.533	98	125.926	Bacillus	82920.0	0
NODE_83_length_3015_cov_58.811728	3015	0.602	0	58.812	Agrobacterium	22752.0	4
NODE_84_length_2400_cov_5.850065	2400	0.3854	0	5.85	Bacillus	40948.0	1
NODE_85_length_2302_cov_9.286428	2302	0.4557	0	9.286	Bacillus	37827.0	1
NODE_87_length_1607_cov_217.401857	1607	0.5569	0	217.402	Agrobacterium	11816.0	3
NODE_88_length_1531_cov_7.974162	1531	0.599	0	7.974	Bacillus	23815.0	1
NODE_90_length_1154_cov_7.908057	1154	0.4142	0	7.908	Bacillus	18280.0	1
NODE_91_length_1085_cov_16.066937	1085	0.3705	0	16.067	Bacillus	15641.0	1
NODE_92_length_997_cov_9.236080	997	0.4824	0	9.236	Bacillus	16172.0	1
NODE_93_length_944_cov_83.014201	944	0.6282	0	83.014	Agrobacterium	7406.0	0
NODE_94_length_906_cov_10.234201	906	0.3918	0	10.234	Bacillus	15132.0	0
NODE_95_length_899_cov_58.641250	899	0.4138	0	58.641	unresolved	8299.0	1
NODE_96_length_890_cov_12.284450	890	0.5899	0	12.284	Bacillus	14204.0	1
NODE_97_length_852_cov_125.334661	852	0.6232	0	125.335	Agrobacterium	5896.0	0
NODE_98_length_845_cov_244.120643	845	0.5373	0	244.121	Agrobacterium	7713.0	2
NODE_99_length_750_cov_8.599078	750	0.5053	0	8.599	Bacillus	12391.0	1
NODE_100_length_683_cov_80.583904	683	0.6135	0	80.584	Agrobacterium	5091.0	0
NODE_101_length_671_cov_6.868881	671	0.5797	0	6.869	Bacillus	11810.0	0
NODE_102_length_646_cov_9.833638	646	0.3731	0	9.834	Bacillus	11328.0	0
NODE_103_length_643_cov_28.253676	643	0.6345	0	28.254	Agrobacterium	4220.0	2
NODE_106_length_580_cov_6.827443	580	0.5759	0	6.827	Bacillus	9352.0	1
NODE_107_length_573_cov_9.236287	573	0.4206	0	9.236	Bacillus	9834.0	0
NODE_108_length_540_cov_7.941043	540	0.3889	0	7.941	Bacillus	8347.0	0
